prompt,lang,expected_way,way_id,model,score
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/commits,en,0.5323
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-mcp-salesforce-cloud/release,en,0.3075
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/knowledge/authoring/tool-agnostic,en,0.2974
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/depscan/node/lockfile,en,0.2847
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery,en,0.2833
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,itops/proposals,en,0.2772
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/release,en,0.2620
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/ops/safety,en,0.2612
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/ops/safety,en,0.2612
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/historysever,en,0.2595
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/branching,en,0.2560
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-mcp-google-workspace-mcp/api-design/late-binding,en,0.2551
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/ops/enterprise-cli,en,0.2484
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/ops/enterprise-cli,en,0.2484
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/dev/new-verb,en,0.2394
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/dev/new-verb,en,0.2394
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/introspection,en,0.2352
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,ea/tasks,en,0.2340
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-markdown-mixed-media/release,en,0.2320
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,workstation/shell/gitconfig,en,0.2276
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-github-manager/dev/guidance,en,0.2237
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-praecipio-platform-ops/dev/guidance,en,0.2237
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/github,en,0.2153
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-app-obsidian-mcp-plugin/delivery/release,en,0.2114
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-mcp-salesforce-cloud/mcp,en,0.2051
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/delivery/patches,en,0.2036
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/docs/docstrings,en,0.2008
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/errors,en,0.1980
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/code/supplychain/repoaudit,en,0.1943
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,softwaredev/environment/attend,en,0.1933
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,writing,en,0.1893
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,meta/skills,en,0.1866
"let me make an atomic commit with a conventional prefix",en,softwaredev/delivery/commits,-home-aaron-Projects-ai-knowledge-graph-system/kg/graph-accel,en,0.1850
